num_passengers,trip_type,purchase_lead,length_of_stay,departure_time,flight_day,flight_duration,long_haul,extra_bags,in_flight_meals,preferred_seats
1,RoundTrip,221,61,2:00,Sun,6.62,"short to medium haul",no,no,no
1,RoundTrip,65,18,14:00,Wed,6.62,"short to medium haul",no,yes,no
2,RoundTrip,7,40,7:00,Wed,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,107,24,14:00,Fri,6.62,"short to medium haul",no,no,yes
1,RoundTrip,14,27,10:00,Wed,6.62,"short to medium haul",no,no,no
1,RoundTrip,77,96,9:00,Tue,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,65,17,9:00,Wed,6.62,"short to medium haul",yes,no,no
1,RoundTrip,24,25,8:00,Thu,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,47,69,2:00,Wed,6.62,"short to medium haul",yes,yes,yes
1,RoundTrip,22,89,14:00,Tue,6.62,"short to medium haul",yes,yes,no
2,RoundTrip,11,25,4:00,Thu,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,35,25,6:00,Tue,6.62,"short to medium haul",no,yes,no
1,RoundTrip,272,21,14:00,Tue,6.62,"short to medium haul",yes,no,no
1,RoundTrip,20,18,10:00,Mon,6.62,"short to medium haul",no,no,no
1,RoundTrip,250,23,9:00,Sun,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,161,58,2:00,Sat,6.62,"short to medium haul",yes,yes,no
4,RoundTrip,128,21,9:00,Mon,6.62,"short to medium haul",yes,no,yes
1,RoundTrip,190,27,14:00,Sun,6.62,"short to medium haul",yes,yes,no
4,RoundTrip,311,27,6:00,Sat,6.62,"short to medium haul",no,no,yes
1,RoundTrip,27,56,7:00,Fri,6.62,"short to medium haul",yes,yes,no
2,RoundTrip,314,43,10:00,Sun,6.62,"short to medium haul",no,no,no
1,RoundTrip,25,29,11:00,Wed,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,102,110,6:00,Tue,6.62,"short to medium haul",yes,no,no
1,RoundTrip,24,19,8:00,Mon,6.62,"short to medium haul",yes,yes,no
1,RoundTrip,2,165,3:00,Mon,7,"short to medium haul",yes,no,no
1,RoundTrip,26,111,13:00,Mon,7,"short to medium haul",yes,yes,no
1,RoundTrip,32,34,23:00,Sun,7,"short to medium haul",no,no,no
2,RoundTrip,57,38,5:00,Sun,7,"short to medium haul",yes,no,no
1,RoundTrip,198,207,10:00,Sun,7,"short to medium haul",yes,yes,no
1,RoundTrip,23,27,11:00,Sat,7,"short to medium haul",no,no,no
1,RoundTrip,33,20,6:00,Fri,4.75,"short to medium haul",yes,no,no
2,RoundTrip,120,91,3:00,Mon,4.75,"short to medium haul",yes,yes,no
2,RoundTrip,69,34,4:00,Thu,4.75,"short to medium haul",yes,no,no
1,CircleTrip,281,18,3:00,Wed,4.75,"short to medium haul",yes,no,no
1,CircleTrip,282,18,19:00,Tue,4.75,"short to medium haul",yes,no,no
1,RoundTrip,69,21,3:00,Wed,4.75,"short to medium haul",yes,no,no
1,OneWay,67,1,10:00,Tue,4.75,"short to medium haul",yes,no,no
1,RoundTrip,15,31,17:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,31,274,10:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,316,35,16:00,Tue,8.83,"long haul",yes,no,no
2,RoundTrip,232,17,3:00,Tue,8.83,"long haul",yes,yes,yes
1,RoundTrip,156,19,14:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,196,44,23:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,283,38,9:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,34,24,5:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,63,57,8:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,5,18,4:00,Tue,8.83,"long haul",no,no,no
1,RoundTrip,6,106,19:00,Tue,8.83,"long haul",no,no,no
1,RoundTrip,227,68,2:00,Fri,8.83,"long haul",yes,no,yes
1,RoundTrip,181,87,2:00,Tue,8.83,"long haul",yes,yes,no
1,RoundTrip,8,33,3:00,Tue,8.83,"long haul",no,no,no
2,RoundTrip,138,35,19:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,134,37,20:00,Wed,8.83,"long haul",no,no,yes
2,RoundTrip,8,29,18:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,23,51,13:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,57,21,1:00,Sun,8.83,"long haul",yes,yes,yes
2,RoundTrip,85,19,0:00,Mon,8.83,"long haul",yes,no,yes
1,RoundTrip,65,31,23:00,Sun,8.83,"long haul",no,no,no
1,OneWay,27,1,13:00,Tue,8.83,"long haul",yes,no,yes
1,RoundTrip,93,196,8:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,16,77,8:00,Mon,8.83,"long haul",no,yes,no
2,RoundTrip,118,17,8:00,Tue,8.83,"long haul",yes,yes,no
2,RoundTrip,90,20,7:00,Thu,8.83,"long haul",no,yes,no
1,RoundTrip,168,41,23:00,Mon,8.83,"long haul",yes,yes,no
1,RoundTrip,127,17,16:00,Tue,8.83,"long haul",yes,yes,no
2,RoundTrip,18,17,6:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,153,30,10:00,Tue,8.83,"long haul",yes,no,yes
1,RoundTrip,51,21,9:00,Sat,8.83,"long haul",yes,yes,no
2,RoundTrip,186,27,2:00,Tue,8.83,"long haul",yes,yes,yes
1,RoundTrip,5,87,5:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,65,278,2:00,Thu,8.83,"long haul",no,no,no
1,RoundTrip,2,18,6:00,Thu,8.83,"long haul",yes,no,yes
1,RoundTrip,263,58,4:00,Sun,8.83,"long haul",no,no,yes
6,RoundTrip,172,28,0:00,Sat,8.83,"long haul",no,yes,no
1,RoundTrip,161,108,2:00,Thu,8.83,"long haul",yes,no,yes
4,RoundTrip,230,29,17:00,Mon,8.83,"long haul",yes,yes,no
1,RoundTrip,7,21,0:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,42,17,14:00,Tue,8.83,"long haul",no,no,no
1,RoundTrip,71,29,10:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,22,180,13:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,81,21,4:00,Fri,8.83,"long haul",yes,no,no
2,RoundTrip,140,18,7:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,42,72,14:00,Sat,8.83,"long haul",no,yes,no
1,RoundTrip,168,32,2:00,Tue,8.83,"long haul",yes,no,yes
1,RoundTrip,285,30,12:00,Wed,8.83,"long haul",yes,yes,yes
2,RoundTrip,179,18,11:00,Thu,8.83,"long haul",yes,yes,no
2,RoundTrip,341,21,10:00,Sat,8.83,"long haul",yes,no,no
2,RoundTrip,96,51,3:00,Thu,8.83,"long haul",yes,yes,no
4,RoundTrip,173,17,1:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,180,24,9:00,Wed,8.83,"long haul",no,yes,yes
4,RoundTrip,366,17,16:00,Sun,8.83,"long haul",yes,yes,no
3,RoundTrip,229,17,13:00,Mon,8.83,"long haul",yes,yes,yes
2,RoundTrip,174,61,11:00,Tue,8.83,"long haul",yes,yes,no
2,RoundTrip,82,25,18:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,75,62,6:00,Mon,8.83,"long haul",no,no,no
2,RoundTrip,163,21,10:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,105,21,8:00,Fri,8.83,"long haul",yes,no,no
2,RoundTrip,276,45,6:00,Mon,8.83,"long haul",yes,yes,no
1,RoundTrip,35,31,3:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,110,26,23:00,Wed,8.83,"long haul",yes,no,no
1,RoundTrip,83,44,3:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,154,25,22:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,118,19,1:00,Tue,8.83,"long haul",yes,yes,no
1,RoundTrip,55,20,22:00,Wed,8.83,"long haul",no,no,no
1,RoundTrip,45,35,1:00,Sat,8.83,"long haul",no,no,no
1,RoundTrip,54,23,4:00,Sun,8.83,"long haul",no,yes,no
1,RoundTrip,193,19,13:00,Tue,8.83,"long haul",no,no,no
1,RoundTrip,10,91,23:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,166,18,20:00,Wed,8.83,"long haul",yes,yes,no
1,RoundTrip,97,25,9:00,Sun,8.83,"long haul",yes,no,no
5,RoundTrip,239,17,12:00,Thu,8.83,"long haul",yes,yes,no
2,RoundTrip,97,50,8:00,Sat,8.83,"long haul",yes,yes,yes
1,RoundTrip,182,28,10:00,Sun,8.83,"long haul",no,yes,no
1,RoundTrip,99,21,13:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,23,59,9:00,Tue,8.83,"long haul",yes,yes,no
1,RoundTrip,53,18,9:00,Mon,8.83,"long haul",yes,no,yes
1,RoundTrip,28,125,12:00,Sat,8.83,"long haul",no,no,no
1,RoundTrip,384,18,5:00,Thu,8.83,"long haul",no,no,no
2,RoundTrip,22,27,23:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,70,106,3:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,126,28,20:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,8,45,8:00,Tue,8.83,"long haul",no,no,no
2,RoundTrip,51,29,11:00,Sun,8.83,"long haul",yes,yes,no
1,RoundTrip,142,124,9:00,Wed,8.83,"long haul",yes,no,no
1,RoundTrip,87,33,9:00,Sat,8.83,"long haul",yes,no,no
5,RoundTrip,238,21,8:00,Fri,8.83,"long haul",yes,yes,yes
2,RoundTrip,86,34,0:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,313,35,20:00,Sat,8.83,"long haul",yes,no,no
2,RoundTrip,41,20,20:00,Sun,8.83,"long haul",yes,yes,yes
1,RoundTrip,91,46,8:00,Wed,8.83,"long haul",yes,yes,yes
1,RoundTrip,41,21,12:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,82,33,10:00,Tue,8.83,"long haul",yes,no,no
5,RoundTrip,206,17,13:00,Sun,8.83,"long haul",yes,no,no
4,RoundTrip,6,55,5:00,Thu,8.83,"long haul",yes,no,yes
5,RoundTrip,197,18,10:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,34,22,13:00,Tue,8.83,"long haul",yes,yes,no
2,RoundTrip,112,21,17:00,Tue,8.83,"long haul",yes,no,no
2,RoundTrip,268,47,1:00,Mon,8.83,"long haul",yes,yes,no
1,RoundTrip,157,26,15:00,Mon,8.83,"long haul",yes,yes,no
2,RoundTrip,145,51,4:00,Wed,8.83,"long haul",yes,yes,yes
4,RoundTrip,241,24,9:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,172,17,9:00,Fri,8.83,"long haul",no,yes,no
1,RoundTrip,99,19,7:00,Wed,8.83,"long haul",no,no,no
1,RoundTrip,139,22,8:00,Sun,8.83,"long haul",yes,yes,no
1,RoundTrip,59,35,13:00,Sun,8.83,"long haul",no,no,yes
1,RoundTrip,396,23,9:00,Mon,8.83,"long haul",yes,yes,no
2,RoundTrip,280,18,23:00,Tue,8.83,"long haul",yes,yes,no
1,RoundTrip,79,23,10:00,Tue,8.83,"long haul",no,no,no
1,RoundTrip,37,26,21:00,Wed,8.83,"long haul",yes,no,no
2,RoundTrip,69,19,17:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,380,21,21:00,Thu,8.83,"long haul",yes,no,yes
5,RoundTrip,206,17,13:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,13,27,1:00,Wed,8.83,"long haul",yes,yes,no
1,RoundTrip,229,31,2:00,Fri,8.83,"long haul",no,yes,no
1,RoundTrip,132,20,9:00,Mon,8.83,"long haul",yes,no,no
4,RoundTrip,121,18,6:00,Sun,8.83,"long haul",yes,yes,yes
4,RoundTrip,316,22,14:00,Thu,8.83,"long haul",yes,no,no
5,RoundTrip,67,35,2:00,Tue,8.83,"long haul",yes,yes,yes
1,RoundTrip,419,21,16:00,Sun,8.83,"long haul",yes,no,no
2,RoundTrip,18,46,2:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,58,21,12:00,Wed,8.83,"long haul",yes,yes,no
2,RoundTrip,115,87,6:00,Wed,8.83,"long haul",no,no,no
1,RoundTrip,236,91,6:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,225,25,6:00,Tue,8.83,"long haul",yes,no,yes
1,RoundTrip,116,56,15:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,34,90,7:00,Sat,8.83,"long haul",yes,no,yes
1,RoundTrip,191,60,11:00,Sun,8.83,"long haul",yes,yes,no
1,RoundTrip,55,22,7:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,53,180,2:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,13,17,3:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,275,36,4:00,Wed,8.83,"long haul",yes,no,yes
1,RoundTrip,58,17,7:00,Sun,8.83,"long haul",yes,yes,no
2,RoundTrip,45,25,1:00,Mon,8.83,"long haul",no,no,no
2,RoundTrip,417,22,4:00,Sun,8.83,"long haul",yes,yes,no
2,RoundTrip,159,21,8:00,Fri,8.83,"long haul",yes,no,no
2,RoundTrip,173,40,8:00,Sun,8.83,"long haul",no,no,no
2,RoundTrip,92,65,13:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,106,208,4:00,Thu,8.83,"long haul",yes,no,no
3,RoundTrip,316,35,16:00,Tue,8.83,"long haul",no,no,no
2,RoundTrip,245,27,11:00,Mon,8.83,"long haul",no,no,no
3,RoundTrip,218,21,8:00,Tue,8.83,"long haul",no,no,no
1,RoundTrip,96,106,1:00,Sun,8.83,"long haul",yes,yes,yes
1,RoundTrip,67,22,11:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,145,204,16:00,Fri,8.83,"long haul",yes,yes,yes
1,RoundTrip,295,18,6:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,57,51,3:00,Wed,8.83,"long haul",yes,yes,no
1,RoundTrip,12,20,8:00,Tue,8.83,"long haul",yes,no,no
3,RoundTrip,77,31,0:00,Thu,8.83,"long haul",yes,no,no
2,RoundTrip,7,83,16:00,Tue,8.83,"long haul",yes,yes,no
1,RoundTrip,305,18,3:00,Wed,8.83,"long haul",no,no,no
2,RoundTrip,235,18,22:00,Tue,8.83,"long haul",yes,yes,no
1,RoundTrip,332,17,11:00,Sat,8.83,"long haul",no,no,no
1,RoundTrip,3,35,6:00,Tue,8.83,"long haul",yes,no,no
2,RoundTrip,56,42,4:00,Thu,8.83,"long haul",yes,yes,no
2,RoundTrip,125,85,15:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,86,21,2:00,Sat,8.83,"long haul",yes,no,no
2,RoundTrip,204,24,6:00,Mon,8.83,"long haul",yes,no,yes
1,RoundTrip,310,44,13:00,Tue,8.83,"long haul",yes,yes,no
1,RoundTrip,115,20,7:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,57,24,12:00,Thu,8.83,"long haul",yes,no,no
4,RoundTrip,368,36,16:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,59,37,15:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,6,21,21:00,Sun,8.83,"long haul",no,no,no
3,RoundTrip,67,22,7:00,Wed,8.83,"long haul",yes,no,yes
1,RoundTrip,169,22,9:00,Sat,8.83,"long haul",yes,no,no
1,RoundTrip,214,38,12:00,Thu,8.83,"long haul",no,no,no
1,RoundTrip,5,19,14:00,Thu,8.83,"long haul",yes,no,no
2,RoundTrip,14,17,10:00,Sat,8.83,"long haul",yes,no,no
2,RoundTrip,173,64,14:00,Thu,8.83,"long haul",no,no,no
1,RoundTrip,7,22,7:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,196,86,3:00,Sun,8.83,"long haul",yes,no,no
2,RoundTrip,155,24,7:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,245,19,9:00,Sat,8.83,"long haul",no,no,no
1,RoundTrip,22,82,10:00,Fri,8.83,"long haul",yes,yes,yes
1,RoundTrip,325,22,4:00,Wed,8.83,"long haul",yes,no,no
1,OneWay,6,1,23:00,Sun,8.83,"long haul",yes,no,no
2,RoundTrip,130,18,10:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,218,17,2:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,189,35,8:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,35,41,15:00,Thu,8.83,"long haul",yes,yes,yes
1,RoundTrip,189,60,8:00,Tue,8.83,"long haul",no,yes,yes
4,RoundTrip,226,17,6:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,122,30,13:00,Thu,8.83,"long haul",yes,no,no
2,RoundTrip,88,30,8:00,Wed,8.83,"long haul",yes,yes,no
4,RoundTrip,211,21,10:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,259,82,9:00,Sun,8.83,"long haul",yes,yes,no
5,RoundTrip,188,17,12:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,129,25,9:00,Mon,8.83,"long haul",yes,yes,no
2,RoundTrip,190,69,21:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,172,54,8:00,Tue,8.83,"long haul",yes,yes,yes
1,RoundTrip,149,17,4:00,Mon,8.83,"long haul",yes,yes,no
1,RoundTrip,15,28,7:00,Sun,8.83,"long haul",no,no,no
4,RoundTrip,38,17,4:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,8,238,5:00,Fri,8.83,"long haul",yes,no,yes
1,RoundTrip,214,23,8:00,Sun,8.83,"long haul",yes,no,yes
1,RoundTrip,14,275,3:00,Wed,8.83,"long haul",yes,yes,no
2,RoundTrip,9,84,13:00,Fri,8.83,"long haul",yes,yes,yes
1,RoundTrip,70,20,14:00,Sat,8.83,"long haul",no,no,no
3,RoundTrip,35,17,3:00,Sun,8.83,"long haul",yes,yes,no
4,RoundTrip,53,42,23:00,Sat,8.83,"long haul",yes,yes,no
1,RoundTrip,77,28,15:00,Wed,8.83,"long haul",yes,no,yes
2,RoundTrip,259,39,21:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,106,27,7:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,194,86,3:00,Sun,8.83,"long haul",yes,yes,no
1,RoundTrip,134,26,15:00,Wed,8.83,"long haul",yes,no,no
1,RoundTrip,3,36,16:00,Sun,8.83,"long haul",no,yes,no
1,RoundTrip,149,17,2:00,Thu,8.83,"long haul",yes,yes,no
2,RoundTrip,9,44,8:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,37,95,17:00,Tue,8.83,"long haul",yes,yes,no
2,RoundTrip,183,34,11:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,40,31,5:00,Fri,8.83,"long haul",yes,yes,yes
1,RoundTrip,95,83,6:00,Wed,8.83,"long haul",no,no,no
1,RoundTrip,135,24,4:00,Fri,8.83,"long haul",no,no,no
1,RoundTrip,15,90,13:00,Fri,8.83,"long haul",yes,yes,no
1,RoundTrip,222,23,9:00,Sat,8.83,"long haul",no,yes,no
2,RoundTrip,64,29,12:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,162,19,8:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,22,27,9:00,Sun,8.83,"long haul",no,yes,no
2,RoundTrip,150,31,8:00,Sun,8.83,"long haul",yes,yes,no
1,RoundTrip,73,27,12:00,Fri,8.83,"long haul",no,no,no
3,RoundTrip,133,19,9:00,Sat,8.83,"long haul",no,no,no
1,OneWay,24,1,0:00,Wed,8.83,"long haul",yes,no,no
1,RoundTrip,66,20,14:00,Sun,8.83,"long haul",no,yes,yes
3,RoundTrip,89,22,6:00,Sat,8.83,"long haul",yes,no,no
2,RoundTrip,105,91,12:00,Sat,8.83,"long haul",yes,yes,yes
1,RoundTrip,115,95,9:00,Thu,8.83,"long haul",yes,no,no
1,RoundTrip,151,39,7:00,Sun,8.83,"long haul",yes,yes,no
3,RoundTrip,349,18,20:00,Mon,8.83,"long haul",yes,no,yes
1,RoundTrip,13,18,9:00,Fri,8.83,"long haul",yes,yes,no
2,RoundTrip,29,20,1:00,Fri,8.83,"long haul",no,no,no
1,RoundTrip,69,28,14:00,Thu,8.83,"long haul",yes,yes,yes
5,RoundTrip,206,17,13:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,6,21,3:00,Fri,8.83,"long haul",yes,no,no
2,RoundTrip,23,31,4:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,197,19,3:00,Mon,8.83,"long haul",no,no,no
2,RoundTrip,368,65,2:00,Sun,8.83,"long haul",yes,yes,no
1,RoundTrip,25,19,6:00,Fri,8.83,"long haul",yes,no,yes
1,RoundTrip,189,33,11:00,Fri,8.83,"long haul",yes,yes,yes
1,RoundTrip,123,70,22:00,Tue,8.83,"long haul",no,no,no
2,RoundTrip,298,22,7:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,89,24,9:00,Sun,8.83,"long haul",yes,no,no
1,RoundTrip,241,125,11:00,Wed,8.83,"long haul",yes,yes,no
2,RoundTrip,195,27,2:00,Wed,8.83,"long haul",yes,yes,yes
1,RoundTrip,84,18,9:00,Wed,8.83,"long haul",no,no,no
1,RoundTrip,410,25,13:00,Sat,8.83,"long haul",yes,no,yes
3,RoundTrip,95,24,8:00,Tue,8.83,"long haul",yes,yes,yes
1,RoundTrip,122,54,5:00,Thu,8.83,"long haul",no,yes,no
2,RoundTrip,216,26,9:00,Sun,8.83,"long haul",no,no,no
1,RoundTrip,89,20,23:00,Wed,8.83,"long haul",yes,no,no
1,RoundTrip,111,42,7:00,Mon,8.83,"long haul",yes,no,no
1,RoundTrip,11,39,7:00,Sat,8.83,"long haul",yes,no,no
3,RoundTrip,174,17,3:00,Wed,8.83,"long haul",yes,no,no
2,RoundTrip,162,18,4:00,Thu,8.83,"long haul",no,no,no
2,OneWay,139,1,8:00,Fri,8.83,"long haul",yes,no,no
1,RoundTrip,19,93,3:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,110,18,15:00,Thu,8.83,"long haul",no,no,no
2,RoundTrip,9,54,7:00,Thu,8.83,"long haul",yes,yes,no
1,RoundTrip,47,28,15:00,Sun,8.83,"long haul",yes,no,no
6,RoundTrip,349,21,5:00,Sun,8.83,"long haul",yes,no,no
2,RoundTrip,109,21,17:00,Sun,8.83,"long haul",yes,yes,yes
1,RoundTrip,0,23,5:00,Tue,8.83,"long haul",no,no,no
4,RoundTrip,38,21,0:00,Mon,8.83,"long haul",yes,yes,no
1,RoundTrip,58,28,8:00,Wed,8.83,"long haul",no,yes,no
4,RoundTrip,192,20,6:00,Sun,8.83,"long haul",yes,yes,no
4,RoundTrip,210,21,4:00,Sun,8.83,"long haul",yes,no,no
2,RoundTrip,326,22,12:00,Sun,8.83,"long haul",no,no,no
2,RoundTrip,13,17,10:00,Tue,8.83,"long haul",yes,yes,yes
2,RoundTrip,240,64,14:00,Wed,8.83,"long haul",no,no,yes
1,RoundTrip,39,21,7:00,Mon,8.83,"long haul",no,no,no
1,RoundTrip,23,35,8:00,Sun,8.83,"long haul",no,no,no
5,OneWay,198,34,14:00,Mon,8.83,"long haul",yes,yes,yes
1,RoundTrip,75,30,10:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,54,20,8:00,Mon,8.83,"long haul",yes,yes,no
1,RoundTrip,32,41,1:00,Sun,8.83,"long haul",no,no,no
2,RoundTrip,101,34,17:00,Thu,8.83,"long haul",yes,no,no
2,RoundTrip,294,49,16:00,Tue,8.83,"long haul",yes,no,no
1,RoundTrip,304,59,0:00,Wed,8.83,"long haul",yes,yes,no
3,RoundTrip,32,23,15:00,Wed,8.83,"long haul",yes,no,no
2,RoundTrip,160,24,22:00,Wed,8.83,"long haul",yes,no,no
3,RoundTrip,363,18,2:00,Mon,8.83,"long haul",yes,yes,yes
